Title	Rwp(%)	
Steel_test_data01	139111.4	
Steel_test_data01	139111.4	
Steel_test_data01	139111.4	
Steel_test_data01	70.21202	
Steel_test_data02	17.92561	
Steel_test_data02	17.92561	
Steel_test_data03	7.425912	
Steel_test_data04	5.175052	
Steel_test_data05	5.29655	
Steel_test_data06	12.739633	
Steel_test_data07	10.286085	
Steel_test_data08	9.992212	
Steel_test_data02	17.92561	
Steel_test_data02	17.92561	
Steel_test_data03	7.425912	
Steel_test_data04	7.4131093	
Steel_test_data05	12.886702	
Steel_test_data06	11.370414	
Steel_test_data07	10.360202	
Steel_test_data01	139111.4	
Steel_test_data01	70.21202	
Steel_test_data01	139111.4	
Steel_test_data01	70.21202	
Steel_test_data01	139111.4	
Steel_test_data01	70.21202	
