Title	Rwp(%)	
Steel_test_data01	31478.516	
Steel_test_data01	31478.516	
Steel_test_data01	31478.516	
Steel_test_data01	68.32981	
Steel_test_data02	18.913158	
Steel_test_data02	18.913158	
Steel_test_data03	5.8028812	
Steel_test_data04	4.806692	
Steel_test_data05	4.8470325	
Steel_test_data06	11.54816	
Steel_test_data07	9.060069	
Steel_test_data08	8.658268	
Steel_test_data02	18.913158	
Steel_test_data02	18.913158	
Steel_test_data03	5.8028812	
Steel_test_data04	5.375352	
Steel_test_data05	11.561827	
Steel_test_data06	9.342482	
Steel_test_data07	8.728334	
Steel_test_data01	31478.516	
Steel_test_data01	68.32981	
Steel_test_data01	31478.516	
Steel_test_data01	68.32981	
Steel_test_data01	31478.516	
Steel_test_data01	68.32981	
