Title	Rwp(%)	
Steel_test_data01	98180.85	
Steel_test_data01	98180.85	
Steel_test_data01	98180.85	
Steel_test_data01	71.41781	
Steel_test_data02	19.9567	
Steel_test_data02	19.9567	
Steel_test_data03	9.2204685	
Steel_test_data04	5.1771474	
Steel_test_data05	5.334695	
Steel_test_data06	15.013136	
Steel_test_data07	12.484072	
Steel_test_data08	12.09285	
Steel_test_data02	19.9567	
Steel_test_data02	19.9567	
Steel_test_data03	9.2204685	
Steel_test_data04	7.629817	
Steel_test_data05	14.984017	
Steel_test_data06	13.50107	
Steel_test_data07	12.101551	
Steel_test_data01	98180.85	
Steel_test_data01	71.41781	
Steel_test_data01	98180.85	
Steel_test_data01	71.41781	
Steel_test_data01	98180.85	
Steel_test_data01	71.41781	
