Title	Rwp(%)	
Steel_test_data01	136321.22	
Steel_test_data01	136321.22	
Steel_test_data01	136321.22	
Steel_test_data01	74.17072	
Steel_test_data02	16.309021	
Steel_test_data02	16.309021	
Steel_test_data03	7.010613	
Steel_test_data04	5.2054987	
Steel_test_data05	5.389718	
Steel_test_data06	12.586832	
Steel_test_data07	10.762805	
Steel_test_data08	10.47196	
Steel_test_data02	16.309021	
Steel_test_data02	16.309021	
Steel_test_data03	7.010613	
Steel_test_data04	6.508513	
Steel_test_data05	12.506863	
Steel_test_data06	11.343409	
Steel_test_data07	10.453244	
Steel_test_data01	136321.22	
Steel_test_data01	74.17072	
Steel_test_data01	136321.22	
Steel_test_data01	74.17072	
Steel_test_data01	136321.22	
Steel_test_data01	74.17072	
